Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
7:30p,Toronto Raptors,113,Boston Celtics,103,Box Score,,"16,898",2:29,TD Garden,
7:30p,Chicago Bulls,94,Detroit Pistons,98,Box Score,OT,"16,035",2:33,The Palace of Auburn Hills,
8:00p,Charlotte Hornets,94,Atlanta Hawks,97,Box Score,,"17,024",2:19,Philips Arena,
8:00p,Washington Wizards,118,Milwaukee Bucks,113,Box Score,,"13,858",2:29,BMO Harris Bradley Center,
8:30p,Brooklyn Nets,75,San Antonio Spurs,102,Box Score,,"18,418",2:06,AT&T Center,
9:00p,Minnesota Timberwolves,95,Denver Nuggets,78,Box Score,,"17,660",2:27,Pepsi Center,
9:30p,Golden State Warriors,112,Houston Rockets,92,Box Score,,"18,142",2:20,Toyota Center,
10:00p,Los Angeles Lakers,114,Sacramento Kings,132,Box Score,,"17,391",2:14,Sleep Train Arena,
10:30p,Portland Trail Blazers,92,Phoenix Suns,110,Box Score,,"18,055",2:39,Talking Stick Resort Arena,
7:00p,Utah Jazz,97,Indiana Pacers,76,Box Score,,"14,412",2:13,Bankers Life Fieldhouse,
7:00p,New York Knicks,117,Washington Wizards,110,Box Score,,"20,356",2:37,Verizon Center,
7:30p,Golden State Warriors,134,New Orleans Pelicans,120,Box Score,,"18,406",2:11,Smoothie King Center,
8:00p,Brooklyn Nets,91,Memphis Grizzlies,101,Box Score,,"16,013",2:16,FedEx Forum,
10:00p,Phoenix Suns,101,Portland Trail Blazers,90,Box Score,,"17,906",2:09,Moda Center,
10:30p,Sacramento Kings,109,Los Angeles Clippers,114,Box Score,,"19,060",2:34,STAPLES Center,
7:30p,New York Knicks,88,Cleveland Cavaliers,117,Box Score,,"20,562",2:19,Quicken Loans Arena,
10:00p,Utah Jazz,104,Portland Trail Blazers,113,Box Score,,"19,446",2:12,Moda Center,
10:30p,San Antonio Spurs,129,Golden State Warriors,100,Box Score,,"19,596",2:18,Oracle Arena,
7:00p,Dallas Mavericks,121,Indiana Pacers,130,Box Score,OT,"17,923",2:47,Bankers Life Fieldhouse,
7:00p,Miami Heat,108,Orlando Magic,96,Box Score,,"19,298",2:19,Amway Center,
7:30p,Detroit Pistons,91,Toronto Raptors,109,Box Score,,"19,800",2:10,Air Canada Centre,
7:30p,Brooklyn Nets,117,Boston Celtics,122,Box Score,,"18,624",2:21,TD Garden,
8:00p,Charlotte Hornets,107,Milwaukee Bucks,96,Box Score,,"18,717",2:18,BMO Harris Bradley Center,
8:00p,Denver Nuggets,107,New Orleans Pelicans,102,Box Score,,"15,869",2:31,Smoothie King Center,
8:00p,Minnesota Timberwolves,98,Memphis Grizzlies,102,Box Score,,"18,119",2:30,FedEx Forum,
8:00p,Oklahoma City Thunder,103,Philadelphia 76ers,97,Box Score,,"20,487",2:32,Wells Fargo Center,
10:00p,Sacramento Kings,113,Phoenix Suns,94,Box Score,,"18,055",2:20,Talking Stick Resort Arena,
10:30p,Houston Rockets,114,Los Angeles Lakers,120,Box Score,,"18,997",2:27,STAPLES Center,
7:30p,Washington Wizards,99,Atlanta Hawks,114,Box Score,,"19,049",2:16,Philips Arena,
8:00p,Boston Celtics,99,Chicago Bulls,105,Box Score,,"21,501",2:31,United Center,
10:30p,Los Angeles Clippers,114,Portland Trail Blazers,106,Box Score,,"19,500",2:47,Moda Center,
10:30p,San Antonio Spurs,102,Sacramento Kings,94,Box Score,,"17,608",2:19,Golden 1 Center,
7:00p,Cleveland Cavaliers,94,Toronto Raptors,91,Box Score,,"19,800",2:26,Air Canada Centre,
7:30p,Indiana Pacers,94,Brooklyn Nets,103,Box Score,,"17,732",2:14,Barclays Center,
7:30p,Orlando Magic,82,Detroit Pistons,108,Box Score,,"19,122",1:57,The Palace of Auburn Hills,
8:00p,Phoenix Suns,110,Oklahoma City Thunder,113,Box Score,OT,"18,203",2:52,Chesapeake Energy Arena,
8:00p,Charlotte Hornets,97,Miami Heat,91,Box Score,,"19,600",2:16,AmericanAirlines Arena,
8:30p,Houston Rockets,106,Dallas Mavericks,98,Box Score,,"20,163",2:14,American Airlines Center,
9:00p,Los Angeles Lakers,89,Utah Jazz,96,Box Score,,"19,911",2:29,Vivint Smart Home Arena,
9:30p,Golden State Warriors,122,New Orleans Pelicans,114,Box Score,,"18,217",2:30,Smoothie King Center,
12:30p,Atlanta Hawks,104,Philadelphia 76ers,72,Box Score,,"16,312",2:09,Wells Fargo Center,
7:00p,Boston Celtics,104,Charlotte Hornets,98,Box Score,,"18,708",2:18,Spectrum Center,
7:30p,Orlando Magic,99,Cleveland Cavaliers,105,Box Score,,"20,562",2:33,Quicken Loans Arena,
7:30p,Memphis Grizzlies,104,New York Knicks,111,Box Score,,"19,812",2:37,Madison Square Garden (IV),
8:00p,New Orleans Pelicans,79,San Antonio Spurs,98,Box Score,,"18,418",2:05,AT&T Center,
8:00p,Brooklyn Nets,108,Milwaukee Bucks,110,Box Score,,"12,570",2:14,BMO Harris Bradley Center,
8:00p,Indiana Pacers,101,Chicago Bulls,118,Box Score,,"21,373",2:00,United Center,
9:00p,Portland Trail Blazers,115,Denver Nuggets,113,Box Score,OT,"18,055",3:19,Pepsi Center,
10:30p,Minnesota Timberwolves,103,Sacramento Kings,106,Box Score,,"17,608",2:33,Golden 1 Center,
4:30p,Utah Jazz,75,Los Angeles Clippers,88,Box Score,,"19,060",2:08,STAPLES Center,
6:00p,Milwaukee Bucks,83,Detroit Pistons,98,Box Score,,"15,161",2:05,The Palace of Auburn Hills,
6:00p,San Antonio Spurs,106,Miami Heat,99,Box Score,,"19,678",2:32,AmericanAirlines Arena,
6:00p,Golden State Warriors,106,Phoenix Suns,100,Box Score,,"17,011",2:29,Talking Stick Resort Arena,
7:00p,Los Angeles Lakers,96,Oklahoma City Thunder,113,Box Score,,"18,203",2:12,Chesapeake Energy Arena,
8:00p,Dallas Mavericks,92,Houston Rockets,93,Box Score,,"18,055",2:28,Toyota Center,
8:00p,Washington Wizards,103,Memphis Grizzlies,112,Box Score,OT,"15,573",2:37,FedEx Forum,
7:30p,Sacramento Kings,95,Atlanta Hawks,106,Box Score,,"12,501",2:25,Philips Arena,
7:30p,Chicago Bulls,118,Brooklyn Nets,88,Box Score,,"15,842",2:02,Barclays Center,
7:30p,Denver Nuggets,102,Toronto Raptors,105,Box Score,,"19,800",2:21,Air Canada Centre,
10:30p,Phoenix Suns,98,Los Angeles Clippers,116,Box Score,,"19,060",2:20,STAPLES Center,
8:01p,Boston Celtics,99,Cleveland Cavaliers,102,Box Score,,"20,562",2:28,Quicken Loans Arena,
10:30p,Houston Rockets,122,Golden State Warriors,121,Box Score,,"19,596",2:28,Oracle Arena,
7:00p,Charlotte Hornets,90,Detroit Pistons,102,Box Score,,"20,491",2:04,Little Caesars Arena,
7:00p,Brooklyn Nets,131,Indiana Pacers,140,Box Score,,"15,008",2:19,Bankers Life Fieldhouse,
7:00p,Miami Heat,109,Orlando Magic,116,Box Score,,"18,846",2:15,Amway Center,
7:00p,Philadelphia 76ers,115,Washington Wizards,120,Box Score,,"20,356",2:25,Capital One Arena,
7:30p,Milwaukee Bucks,108,Boston Celtics,100,Box Score,,"18,624",2:15,TD Garden,
8:00p,New Orleans Pelicans,91,Memphis Grizzlies,103,Box Score,,"17,794",2:22,FedEx Forum,
8:30p,Atlanta Hawks,117,Dallas Mavericks,111,Box Score,,"19,709",2:15,American Airlines Center,
9:00p,Denver Nuggets,96,Utah Jazz,106,Box Score,,"17,588",2:08,Vivint Smart Home Arena,
9:30p,Minnesota Timberwolves,99,San Antonio Spurs,107,Box Score,,"18,418",2:14,AT&T Center,
10:00p,Portland Trail Blazers,124,Phoenix Suns,76,Box Score,,"18,055",2:07,Talking Stick Resort Arena,
10:00p,Houston Rockets,105,Sacramento Kings,100,Box Score,,"17,583",2:10,Golden 1 Center,
7:30p,Chicago Bulls,100,Toronto Raptors,117,Box Score,,"19,800",2:04,Air Canada Centre,
8:00p,New York Knicks,84,Oklahoma City Thunder,105,Box Score,,"18,203",2:20,Chesapeake Energy Arena,
10:30p,Los Angeles Clippers,108,Los Angeles Lakers,92,Box Score,,"18,997",2:16,STAPLES Center,
7:00p,Atlanta Hawks,91,Charlotte Hornets,109,Box Score,,"18,417",2:11,Spectrum Center,
7:00p,Portland Trail Blazers,114,Indiana Pacers,96,Box Score,,"15,325",2:06,Bankers Life Fieldhouse,
7:00p,Cleveland Cavaliers,116,Milwaukee Bucks,97,Box Score,,"18,717",2:08,BMO Harris Bradley Center,
7:00p,Boston Celtics,102,Philadelphia 76ers,92,Box Score,,"20,816",2:17,Wells Fargo Center,
7:00p,Detroit Pistons,111,Washington Wizards,115,Box Score,,"16,337",2:38,Capital One Arena,
7:30p,Orlando Magic,121,Brooklyn Nets,126,Box Score,,"16,144",2:13,Barclays Center,
8:00p,Utah Jazz,97,Minnesota Timberwolves,100,Box Score,,"18,978",2:23,Target Center,
8:30p,Sacramento Kings,93,Dallas Mavericks,88,Box Score,,"19,273",2:06,American Airlines Center,
9:30p,Golden State Warriors,128,New Orleans Pelicans,120,Box Score,,"18,171",,Smoothie King Center,
10:00p,Los Angeles Lakers,132,Phoenix Suns,130,Box Score,,"18,055",2:32,Talking Stick Resort Arena,
7:30p,Philadelphia 76ers,94,Toronto Raptors,128,Box Score,,"19,800",2:18,Air Canada Centre,
8:00p,San Antonio Spurs,87,Chicago Bulls,77,Box Score,,"21,640",1:59,United Center,
8:00p,Orlando Magic,114,Cleveland Cavaliers,93,Box Score,,"20,562",2:07,Quicken Loans Arena,
8:00p,Dallas Mavericks,91,Houston Rockets,107,Box Score,,"18,055",2:07,Toyota Center,
8:00p,Golden State Warriors,101,Memphis Grizzlies,111,Box Score,,"17,794",2:19,FedEx Forum,
8:00p,Indiana Pacers,108,Miami Heat,112,Box Score,,"19,600",2:08,AmericanAirlines Arena,
8:00p,Detroit Pistons,111,New York Knicks,107,Box Score,,"19,812",2:14,Madison Square Garden (IV),
8:30p,Portland Trail Blazers,110,Milwaukee Bucks,113,Box Score,,"16,211",2:22,BMO Harris Bradley Center,
9:00p,Sacramento Kings,79,Denver Nuggets,96,Box Score,,"19,520",2:27,Pepsi Center,
9:00p,Oklahoma City Thunder,87,Utah Jazz,96,Box Score,,"18,300",2:06,Vivint Smart Home Arena,
10:30p,Phoenix Suns,88,Los Angeles Clippers,130,Box Score,,"19,068",2:14,STAPLES Center,
3:30p,Atlanta Hawks,104,Brooklyn Nets,116,Box Score,,"13,917",2:24,Barclays Center,
7:00p,Minnesota Timberwolves,115,Oklahoma City Thunder,113,Box Score,,"18,203",2:15,Chesapeake Energy Arena,
9:30p,New Orleans Pelicans,119,Los Angeles Lakers,112,Box Score,,"18,997",2:12,STAPLES Center,
7:00p,Philadelphia 76ers,97,Detroit Pistons,86,Box Score,,"13,709",2:14,Little Caesars Arena,
7:30p,Atlanta Hawks,93,Miami Heat,104,Box Score,,"19,600",2:13,AmericanAirlines Arena,
8:00p,Memphis Grizzlies,98,Houston Rockets,90,Box Score,,"17,129",2:23,Toyota Center,
8:00p,Charlotte Hornets,94,Milwaukee Bucks,103,Box Score,,"12,887",2:09,BMO Harris Bradley Center,
8:30p,Golden State Warriors,133,Dallas Mavericks,103,Box Score,,"19,875",2:13,American Airlines Center,
8:30p,Toronto Raptors,97,San Antonio Spurs,101,Box Score,,"18,418",2:22,AT&T Center,
9:00p,Washington Wizards,109,Denver Nuggets,104,Box Score,,"14,294",2:18,Pepsi Center,
10:00p,Sacramento Kings,115,Phoenix Suns,117,Box Score,,"14,903",2:18,Talking Stick Resort Arena,
7:00p,Chicago Bulls,112,Cleveland Cavaliers,119,Box Score,,"20,562",2:04,Quicken Loans Arena,
7:00p,Brooklyn Nets,121,Orlando Magic,125,Box Score,,"16,015",3:07,Amway Center,
7:30p,New York Knicks,89,Boston Celtics,110,Box Score,,"18,624",2:06,TD Garden,
8:00p,Indiana Pacers,130,Minnesota Timberwolves,107,Box Score,,"14,353",2:06,Target Center,
10:00p,New Orleans Pelicans,93,Portland Trail Blazers,103,Box Score,,"19,446",2:15,Moda Center,
10:30p,Utah Jazz,84,Los Angeles Clippers,102,Box Score,,"16,607",2:02,STAPLES Center,
7:00p,Denver Nuggets,93,Charlotte Hornets,110,Box Score,,"14,253",2:09,Spectrum Center,
7:00p,Minnesota Timberwolves,101,Detroit Pistons,122,Box Score,,"13,790",2:05,Little Caesars Arena,
7:00p,Houston Rockets,105,Philadelphia 76ers,104,Box Score,,"20,682",2:09,Wells Fargo Center,
7:30p,Cleveland Cavaliers,107,Brooklyn Nets,112,Box Score,,"17,732",2:27,Barclays Center,
8:00p,San Antonio Spurs,117,Miami Heat,100,Box Score,,"19,600",2:16,AmericanAirlines Arena,
8:00p,Indiana Pacers,96,Oklahoma City Thunder,114,Box Score,,"18,203",2:18,Chesapeake Energy Arena,
8:30p,Memphis Grizzlies,94,Dallas Mavericks,103,Box Score,,"19,674",2:15,American Airlines Center,
10:00p,Utah Jazz,88,Phoenix Suns,97,Box Score,,"16,022",2:09,Talking Stick Resort Arena,
10:30p,Toronto Raptors,112,Golden State Warriors,117,Box Score,,"19,596",2:14,Oracle Arena,
10:30p,Washington Wizards,99,Los Angeles Lakers,102,Box Score,OT,"18,996",2:38,STAPLES Center,
8:00p,Atlanta Hawks,86,Chicago Bulls,91,Box Score,,"21,104",2:06,United Center,
8:00p,Dallas Mavericks,91,Memphis Grizzlies,96,Box Score,,"15,839",2:16,FedEx Forum,
8:00p,Boston Celtics,96,Milwaukee Bucks,89,Box Score,,"11,046",2:13,UWâMilwaukee Panther Arena,
10:00p,Los Angeles Clippers,104,Portland Trail Blazers,103,Box Score,,"18,694",2:22,Moda Center,
10:30p,New Orleans Pelicans,114,Sacramento Kings,106,Box Score,,"17,583",2:23,Golden 1 Center,
7:00p,Houston Rockets,109,Charlotte Hornets,93,Box Score,,"17,339",2:10,Spectrum Center,
7:00p,San Antonio Spurs,87,Orlando Magic,114,Box Score,,"17,337",2:03,Amway Center,
7:30p,Denver Nuggets,105,Atlanta Hawks,100,Box Score,,"16,220",2:13,Philips Arena,
7:30p,Brooklyn Nets,86,New York Knicks,107,Box Score,,"19,812",2:05,Madison Square Garden (IV),
8:00p,Oklahoma City Thunder,116,Minnesota Timberwolves,119,Box Score,,"17,620",2:25,Target Center,
10:30p,Washington Wizards,117,Golden State Warriors,120,Box Score,,"19,596",2:24,Oracle Arena,
10:30p,Toronto Raptors,101,Los Angeles Lakers,92,Box Score,,"17,876",2:14,STAPLES Center,
7:00p,Cleveland Cavaliers,101,New Orleans Pelicans,123,Box Score,,"18,539",2:09,Smoothie King Center,
8:00p,Oklahoma City Thunder,101,Chicago Bulls,69,Box Score,,"21,706",1:56,United Center,
8:00p,Houston Rockets,89,Memphis Grizzlies,103,Box Score,,"17,033",2:00,FedEx Forum,
8:00p,Boston Celtics,96,Miami Heat,90,Box Score,,"19,600",2:12,AmericanAirlines Arena,
8:30p,Philadelphia 76ers,112,Dallas Mavericks,110,Box Score,,"19,567",2:09,American Airlines Center,
9:00p,Los Angeles Lakers,81,Utah Jazz,96,Box Score,,"18,306",2:12,Vivint Smart Home Arena,
10:00p,Phoenix Suns,107,Portland Trail Blazers,114,Box Score,,"19,343",2:09,Moda Center,
10:30p,Detroit Pistons,95,Los Angeles Clippers,87,Box Score,,"17,247",2:13,STAPLES Center,
3:30p,Milwaukee Bucks,117,Atlanta Hawks,106,Box Score,,"14,014",2:08,Philips Arena,
4:30p,San Antonio Spurs,94,Indiana Pacers,97,Box Score,,"15,013",2:13,Bankers Life Fieldhouse,
6:00p,Denver Nuggets,124,Brooklyn Nets,111,Box Score,,"14,854",2:09,Barclays Center,
6:00p,Orlando Magic,113,Charlotte Hornets,120,Box Score,,"15,531",2:11,Spectrum Center,
6:00p,Washington Wizards,110,Sacramento Kings,83,Box Score,,"17,583",1:59,Golden 1 Center,
7:00p,New York Knicks,114,Cleveland Cavaliers,95,Box Score,,"20,562",2:14,Quicken Loans Arena,
8:30p,Detroit Pistons,115,Golden State Warriors,107,Box Score,,"19,596",2:09,Oracle Arena,
7:30p,San Antonio Spurs,94,Boston Celtics,108,Box Score,,"18,624",2:07,TD Garden,
7:30p,Minnesota Timberwolves,125,Miami Heat,122,Box Score,OT,"19,600",2:44,AmericanAirlines Arena,
7:30p,Denver Nuggets,110,New York Knicks,116,Box Score,,"19,812",2:20,Madison Square Garden (IV),
8:00p,Philadelphia 76ers,115,Houston Rockets,107,Box Score,,"16,714",2:21,Toyota Center,
8:00p,Charlotte Hornets,104,Memphis Grizzlies,99,Box Score,,"15,771",2:14,FedEx Forum,
8:00p,Orlando Magic,115,New Orleans Pelicans,99,Box Score,,"14,004",2:05,Smoothie King Center,
9:00p,Dallas Mavericks,89,Utah Jazz,104,Box Score,,"16,221",2:04,Vivint Smart Home Arena,
10:00p,Toronto Raptors,99,Portland Trail Blazers,85,Box Score,,"18,505",2:02,Moda Center,
10:30p,Golden State Warriors,141,Los Angeles Clippers,113,Box Score,,"19,068",2:11,STAPLES Center,
7:00p,Sacramento Kings,83,Indiana Pacers,101,Box Score,,"12,245",2:02,Bankers Life Fieldhouse,
7:30p,Phoenix Suns,122,Brooklyn Nets,114,Box Score,,"12,936",2:18,Barclays Center,
8:00p,Oklahoma City Thunder,110,Milwaukee Bucks,91,Box Score,,"16,713",2:09,BMO Harris Bradley Center,
10:30p,Detroit Pistons,93,Los Angeles Lakers,113,Box Score,,"17,569",1:53,STAPLES Center,
8:00p,Philadelphia 76ers,87,Boston Celtics,105,Box Score,,"18,624",2:19,TD Garden,
10:30p,Oklahoma City Thunder,100,Golden State Warriors,108,Box Score,,"19,596",2:24,Oracle Arena,
7:00p,Milwaukee Bucks,113,Charlotte Hornets,112,Box Score,,"17,889",2:17,Spectrum Center,
7:00p,Brooklyn Nets,100,Detroit Pistons,103,Box Score,,"20,332",2:23,Little Caesars Arena,
7:00p,Memphis Grizzlies,83,Indiana Pacers,111,Box Score,,"17,923",2:08,Bankers Life Fieldhouse,
7:00p,Miami Heat,101,Orlando Magic,104,Box Score,,"19,191",2:28,Amway Center,
7:30p,Atlanta Hawks,107,New York Knicks,126,Box Score,,"18,249",2:14,Madison Square Garden (IV),
7:30p,Cleveland Cavaliers,104,Toronto Raptors,116,Box Score,,"19,915",2:23,Scotiabank Arena,
8:00p,New Orleans Pelicans,131,Houston Rockets,112,Box Score,,"18,055",2:14,Toyota Center,
8:30p,Minnesota Timberwolves,108,San Antonio Spurs,112,Box Score,,"18,354",2:16,AT&T Center,
10:00p,Utah Jazz,123,Sacramento Kings,117,Box Score,,"17,583",2:21,Golden 1 Center,
10:30p,Denver Nuggets,107,Los Angeles Clippers,98,Box Score,,"19,068",2:29,STAPLES Center,
10:30p,Dallas Mavericks,100,Phoenix Suns,121,Box Score,,"18,055",2:14,Talking Stick Resort Arena,
8:00p,Chicago Bulls,108,Philadelphia 76ers,127,Box Score,,"20,302",2:19,Wells Fargo Center,
8:00p,Miami Heat,113,Washington Wizards,112,Box Score,,"20,409",2:36,Capital One Arena,
10:30p,Los Angeles Lakers,119,Portland Trail Blazers,128,Box Score,,"19,996",2:28,Moda Center,
7:00p,Charlotte Hornets,120,Orlando Magic,88,Box Score,,"17,668",2:04,Amway Center,
7:30p,New York Knicks,105,Brooklyn Nets,107,Box Score,,"17,732",2:17,Barclays Center,
8:00p,Atlanta Hawks,117,Memphis Grizzlies,131,Box Score,,"17,019",2:25,FedEx Forum,
8:00p,Cleveland Cavaliers,123,Minnesota Timberwolves,131,Box Score,,"18,978",2:25,Target Center,
8:00p,Sacramento Kings,129,New Orleans Pelicans,149,Box Score,,"18,337",2:12,Smoothie King Center,
8:00p,Boston Celtics,101,Toronto Raptors,113,Box Score,,"19,800",2:12,Scotiabank Arena,
8:30p,Indiana Pacers,101,Milwaukee Bucks,118,Box Score,,"17,341",2:12,Fiserv Forum,
10:30p,Oklahoma City Thunder,92,Los Angeles Clippers,108,Box Score,,"14,816",2:22,STAPLES Center,
10:30p,Golden State Warriors,124,Utah Jazz,123,Box Score,,"18,306",2:28,Vivint Smart Home Arena,
7:00p,Brooklyn Nets,112,Indiana Pacers,132,Box Score,,"17,007",2:08,Bankers Life Fieldhouse,
7:00p,Toronto Raptors,117,Washington Wizards,113,Box Score,,"16,185",2:31,Capital One Arena,
7:30p,Boston Celtics,103,New York Knicks,101,Box Score,,"19,427",2:24,Madison Square Garden (IV),
7:30p,Orlando Magic,115,Philadelphia 76ers,116,Box Score,,"20,300",2:14,Wells Fargo Center,
8:00p,Detroit Pistons,118,Chicago Bulls,116,Box Score,,"21,289",2:17,United Center,
8:00p,Charlotte Hornets,113,Miami Heat,112,Box Score,,"19,600",2:24,AmericanAirlines Arena,
8:30p,Minnesota Timberwolves,136,Dallas Mavericks,140,Box Score,,"20,205",2:32,American Airlines Center,
9:00p,Phoenix Suns,91,Denver Nuggets,119,Box Score,,"19,592",2:37,Pepsi Center,
10:00p,San Antonio Spurs,108,Portland Trail Blazers,121,Box Score,,"19,461",2:00,Moda Center,
10:30p,Houston Rockets,124,Los Angeles Lakers,115,Box Score,,"18,997",2:27,STAPLES Center,
6:00p,Atlanta Hawks,133,Cleveland Cavaliers,111,Box Score,,"19,432",2:13,Quicken Loans Arena,
7:00p,Sacramento Kings,131,Oklahoma City Thunder,120,Box Score,,"18,203",2:22,Chesapeake Energy Arena,
8:00p,Golden State Warriors,98,Denver Nuggets,100,Box Score,,"19,520",2:24,Pepsi Center,
9:00p,Houston Rockets,112,Los Angeles Clippers,115,Box Score,,"16,149",,STAPLES Center,
7:30p,Orlando Magic,93,Boston Celtics,90,Box Score,,"18,624",1:58,TD Garden,
7:30p,Charlotte Hornets,106,Toronto Raptors,127,Box Score,,"19,800",2:00,Scotiabank Arena,
8:00p,New York Knicks,113,Milwaukee Bucks,124,Box Score,,"16,228",2:06,Fiserv Forum,
8:00p,Indiana Pacers,91,Minnesota Timberwolves,101,Box Score,,"10,371",2:08,Target Center,
8:30p,Chicago Bulls,109,Dallas Mavericks,115,Box Score,,"19,291",2:16,American Airlines Center,
9:00p,Memphis Grizzlies,92,Utah Jazz,84,Box Score,,"18,306",2:24,Vivint Smart Home Arena,
10:00p,Washington Wizards,125,Portland Trail Blazers,124,Box Score,OT,"19,187",2:31,Moda Center,
10:30p,Phoenix Suns,103,Golden State Warriors,123,Box Score,,"19,596",2:05,Oracle Arena,
10:30p,San Antonio Spurs,143,Los Angeles Lakers,142,Box Score,OT,"18,997",2:38,STAPLES Center,
7:00p,Philadelphia 76ers,132,Detroit Pistons,133,Box Score,OT,"14,418",2:51,Little Caesars Arena,
8:00p,Los Angeles Clippers,109,New Orleans Pelicans,116,Box Score,,"14,625",2:21,Smoothie King Center,
9:00p,Sacramento Kings,112,Denver Nuggets,126,Box Score,,"13,214",2:04,Pepsi Center,
7:00p,Dallas Mavericks,104,Atlanta Hawks,111,Box Score,,"16,705",2:34,State Farm Arena,
